排名,标题,播放量,讨论数,得分,UP的ID,视频av号
1,世界上BUG最多的搞笑游戏 每局1500个BUG,361.1万,1.1万,1876850,10558098,BV1cz4y1X7TT
2,老王有媳妇儿了！【德华的世界#6】,158.8万,2.7万,1751730,13354765,BV1bD4y1Q7LF
3,LOL最狠海贼拳法 你不打也得给我打的套路[有点骚东西],143.8万,7803,1722637,23604445,BV1vK4y147H1
4,应该是最后一期了,150.1万,5.1万,1681393,2206456,BV1wi4y1V73P
5,【真人GTA】老 年 崔 佛,150.6万,4384,1458489,3380239,BV1NV41167nt
6,能看到第15秒吗？,75.5万,4615,1374925,316641949,BV12f4y1272j
7,史上最厚血量，被打了6分钟还活着！？,255.9万,8532,1277632,13118294,BV1KD4y1S7hk
8,我的世界坏掉了！！！,50.3万,5702,1268463,3334737,BV1g54y1z7qs
9,暴 躁 老 哥,210.2万,8521,1247724,777536,BV1JT4y1J7wC
10,【嘟督】给你总结下《最后高尔夫2》到底讲了啥！！！,58.5万,6011,1205161,2403047,BV1kT4y177Wh
11,【散人】孙美琪疑案：嬴雪儿 高能转折 老胡同七杀投毒案,39.4万,1.6万,1100464,168598,BV1754y1z7sS
12,和 风 美 女,68.1万,1.5万,988960,4162287,BV1qf4y117v6
13,《赛博朋克 2077》最新实机游玩，玩法揭秘【老戴在此】,120.2万,1.6万,955825,2142762,BV1JT4y177YA
14,【LPL夏季赛】6月25日 FPX vs IG,270.4万,5.7万,947452,50329118,BV1sg4y1v7Jg
15,【Minecraft】前方高能！！这期视频将会非常爆肝！上热门必须吃ICE！,27.3万,1383,936098,10846843,BV1nv411B7B6
16,【老E】这是什么3A级阴间剧情？,121.4万,4211,932521,433351,BV1kp4y1D7xj
17,真是好身手【水无月菌】,78.2万,2616,927055,1958342,BV1Pa4y1e766
18,【STN快报第五季01】乔尔的命也是命,66.9万,9478,925052,7349,BV1sD4y1Q75E
19,不要“做“挑战（番外篇）,121.7万,4641,907112,402482964,BV1XC4y1a7NW
20,【UZI】我的往事：爹的摩托车竟追不上我的拖把？,77.7万,5375,897596,42619059,BV1ei4y1G7vF
21,看完这波，我把我家电饭煲吃了,176.2万,1050,894536,50366363,BV1mf4y1y76g
22,《赛博朋克2077》官方预告片 —— 差事,99.9万,2159,886098,271442527,BV1bT4y177v4
23,【敖厂长】打枪游戏竟被我玩成了猛男乱斗！？,129.5万,5298,885682,122879,BV1dT4y1J7EW
24,王老菊教你杀牛仔01&02,88.6万,1.2万,881318,423895,BV1Eg4y1q7pu
25,【剧本杀】百万UP主们勾心斗角（上）,91.3万,2.3万,873638,8366990,BV1rf4y1y7Uj
26,纯黑《最后生还者2》第二期 最高难度迅猛式攻略解说,54.4万,1.0万,863625,585267,BV1Nz4y1X7k2
27,【中国网游史67】腾讯都救不活的《新流星》，到底遭遇了什么？,60.6万,2712,842451,617285,BV1Lv411B7cg
28,【互动游戏】剧情高能！一起失踪事件，揭开游轮血腥面纱…【打泥泥】,50.3万,1.5万,826515,357229416,BV1G5411Y7VX
29,荒野乱斗x名场面,87.6万,3593,825218,429714179,BV1Hg4y1q7Ww
30,“100%无限连”技巧，学会这个赛季末还能再上一波分,52.0万,2134,767914,44714611,BV1dp4y1U7TS
