排名,标题,播放量,讨论数,得分,UP的ID,视频av号
1,【官方MV】Mojito - 周杰伦,1266.5万,13.3万,12138824,32708543,BV1PK4y1b7dt
2,刻进DNA里的画面——前方名场景高能【BILIBILI 11周年】,488.8万,2.9万,10601966,586350333,BV1Rz4y1Q7tg
3,Uzi | 大家好，我是你们的枣子哥简自豪，今天正式入驻B站啦！,830.9万,4.5万,9278499,42619059,BV15Z4y1H7jh
4,最 强 法 海,983.5万,3.9万,8957490,96070394,BV1pi4y147tQ
5,【老番茄】史上最骚杀手(第十集),573.6万,6.8万,8523214,546195,BV1XC4y1h78J
6,如何拒绝别人,736.2万,2.1万,7843457,10897973,BV18Z4y1W7Au
7,《樱  桃  老  丸  子》,673.9万,9746,7736301,576534137,BV1dz4y197zd
8,【醒醒】中华儿女该起床了,249.3万,3.1万,6764254,2331173,BV1m54y1Q7eQ
9,【过于真实】天 下 老 师 皆 是 一 家,411.0万,3.0万,5860511,130130236,BV1hv41167xK
10,骁话一下：为什么中日韩一谈合作，钓鱼岛就出事儿？,398.0万,5.8万,5734022,10330740,BV1R5411W7Re
11,毛选朗读（1～5卷） 持续更新中…,147.7万,1.5万,5493791,611501677,BV1e54y1B7WF
12,小时候看笑话，长大后看真实,286.9万,2.1万,5322745,13899470,BV1uf4y127Ab
13,靠谱盘点86:先就到这里吧！我们下期再见！,299.7万,2.9万,5174103,279991456,BV1Tf4y117Go
14,《Numb》——4K超清  翻唱,547.7万,2.2万,4985667,11299160,BV1mK4y1x7Mb
15,小翔哥回来了，我们重新开始,593.4万,7.0万,4985617,353539995,BV1Wg4y1q7fk
16,【童年经典/反派手书】你管这叫童年阴影？！,168.9万,1.6万,4760742,29658682,BV1QA411v7mK
17,【Pamela Reif】魔鬼帕梅拉10分钟初学者腹部训练，新手姐妹也能跟得上啦！,216.1万,1.5万,4736738,34044873,BV1o7411E71J
18,这个王者明明超强却喜欢捡垃圾吃【龙女动物学15】软甲纲,318.9万,1.5万,4707875,18706318,BV1hz411i7cD
19,【川普】浮夸，是一个卧底最好的掩饰,344.5万,2.5万,4671537,57676402,BV1Mk4y1z7ey
20,被上帝吻过的嗓子,792.7万,3.1万,4496865,484831835,BV1Wa4y1v7qB
21,眼“色”游戏 （2）,321.2万,7.7万,4351261,5970160,BV1LV41167aW
22,能看到第15秒吗？,330.5万,1.8万,4140743,316641949,BV12f4y1272j
23,耗时..... 算了，白嫖吧!,219.6万,8104,4082253,452941348,BV1HZ4y1H7Sy
24,当  代  网  络  现  状,481.7万,9487,4048492,456861535,BV1aK411n7ox
25,当 滑稽 和其他表情合体,262.1万,2.0万,3983423,437549884,BV1Hk4y1z7GA
26,躺床8分钟高效瘦腰虐腹！快速练出马甲线/沙漏腰（跟练版）,100.1万,1.9万,3932761,265578856,BV14p4y1X7iP
27,电竞运动员Uzi退役独家专访：如果时间还够，很多东西我可以做到,335.8万,4.4万,3852433,222103174,BV1dC4y1h7at
28,BILIBILI 11周年演讲,415.3万,16.0万,3799980,8047632,BV1SK4y1477d
29,高考作弊记,293.4万,1.3万,3798562,2444757,BV1ep4y1D7s1
30,手 往 哪 摸 呢 ？,445.9万,4.7万,3784358,777536,BV1bZ4y1W7ui
31,【才浅手工】两个月打造两把誓约胜利之剑，已用青金石附魔,180.6万,2.6万,3771933,2200736,BV14g4y1v7Ks
32,满级大佬屠杀新手村,445.1万,1.0万,3738866,247412150,BV1LJ411W7Bo
33,B站的儿童节礼物：哔哩哔哩视频卫星，把世界拍给你看！,601.2万,3.1万,3712342,591889353,BV1HC4y1p7nn
34,壮阔史诗！二战历史年表，超燃影视化剪辑【历史调研室】,118.5万,1.6万,3550881,519872016,BV1Z5411p7Ct
35,每天10min，轻松get直角肩＋少女背! 消除猥琐斜方肌!圆肩驼背必看！,222.1万,1.6万,3527395,493570956,BV1Yk4y1d7Wn
36,【李玉刚自投稿】你们要的《赤伶》剧情版MV来了！,169.0万,1.5万,3499379,85318798,BV1SA411v7zD
37,【互动视频】100%算中你的年龄！,337.3万,4.5万,3481838,295156493,BV1eA411q7C6
38,每天一遍，北大相见,237.1万,5357,3419639,7275647,BV1cp4y1Q7yn
39,8分钟简单高效瘦胳膊运动，还能练出锁骨、直角肩，消除斜方肌｜亲测一周见效，无器械，无需场地，站着做瘦手臂操！,224.1万,1.1万,3397389,369750017,BV1W7411c7rH
40,相 机 大 战,222.0万,1.2万,3390787,3066511,BV16Z4y1H7NG
41,情同手足,450.4万,5.7万,3371975,1577804,BV1Tg4y1q7iK
42,当有陌生人敲门！打开这个视频！快！,93.6万,1440,3337027,458683,BV165411x7v9
43,我 摸到了！,335.9万,3.6万,3295176,562197,BV1mz4y1Q7FF
44,"泰戈尔《飞鸟集》英文版326首全集(英音+美音), 适合朗读和练听力",45.5万,1026,3292086,483162496,BV1Da4y1e7Q8
45,快给我住手！你喷错人了！！,398.5万,6413,3273701,318223,BV1uZ4y1H7Fh
46,鬼知道我看了几遍！,359.8万,6659,3271285,434030665,BV1tp4y1D7B1
47,最 强 汤 姆,315.7万,1.2万,3250304,20530305,BV1Rv411B787
48,妈妈去世后，就再也没有吃过了…,256.8万,7002,3216701,480366389,BV18T4y1J7Jn
49,看看他最后是怎么离开死循环的,357.8万,5553,3119562,299291982,BV1QA411q7NC
50,用六十部动漫台词唱出一首《稻香》,97.7万,6465,3068698,1826871,BV16V411C7Jv
51,新 概 念 吃 播,336.3万,13.5万,2984186,2206456,BV1Az4y1R7WY
52,油管千万粉大神Kurt入驻b站！,272.0万,1.2万,2984075,596324576,BV1Ma4y1v7RF
53,一个神仙级别的美式英语发音教程，不刷十遍都亏了！,48.0万,2325,2912771,593470050,BV1n54y1B7bE
54,六 一 儿 童 劫,493.6万,8635,2897059,22550035,BV1Dg4y1B74y
55,【川普】没人比我更懂China！,345.1万,1.4万,2851434,375375,BV1gf4y1277v
56,自制多米诺开瓶器，一次开100瓶乌苏，让开盖更加简单且硬气,387.5万,2.8万,2835495,280793434,BV16v411B73n
57,【4K】B站最全面完整的亲妈级电脑教程，从零装一台完美电脑,50.6万,1429,2821242,383336986,BV1UC4y1a79h
58,【4k/裸眼3D/无水印】爆肝抠图1350张，该细还得细！,109.9万,1619,2811387,10773628,BV1Yz4y197X1
59,10分钟下腹部小肚子运动｜高效燃脂、无工具【周六野Zoey】,89.4万,4662,2775784,62540916,BV1Mt4y1y7Pt
