视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1yt4y1X75B,哔哩哔哩弹幕网,196470,7151680,4268576,B站11周年特映《喜相逢》| 我们满心欢喜相逢在B站,36566,原创
BV1R54y1i71G,LexBurner,234028,2874209,3640762,名作扎堆！背水一战！2020年7月新番导视！,44317,原创
BV1Rv411B787,庄不纯,167597,3646839,3640458,最 强 汤 姆,13581,原创
BV1UT4y1J7xN,崩坏3第一偶像爱酱,246941,1449490,3563794,《崩坏3》动画短片「罪人挽歌」,39817,原创
BV16i4y1G7CQ,敖厂长,393326,1963581,3481975,花了两万多元感受82年黑科技游戏主机,18794,原创
BV14A411i7v2,韩小四April,17615,665202,3366462,10分钟高效瘦大腿根运动，躺床练出大腿缝，亲测一周见效！膝盖友好，无器械～,4450,原创
BV1qz4y1X7ss,怪兽电台MonsterBlog,124000,2031272,3177726,【隐秘的角落·百万剪辑】杀戮之途·你就是我！将34380秒的故事提炼成9分钟的“险恶之旅”！每一秒都是壁纸！,5462,原创
BV1sz4y1X7ys,霜叶题诗,38499,1896389,3171751,是的姐妹！你凭本事刷到了这个视频～,14849,原创
BV1xV41167qm,学姐圆,114075,895242,3110147,【𝟒𝐊 𝟔𝟎𝐅𝐏𝐒】这首《𝑭𝒂𝒍𝒍𝒊𝒏𝒈 𝑨𝒈𝒂𝒊𝒏》如今治愈了多少人！！!  ℳ₯㎕-沉 沦,4271,原创
BV1LV41167aW,小潮院长,221815,2602940,3022358,眼“色”游戏 （2）,49557,原创
BV1mi4y1G78L,腾讯,131246,5508632,3021958,我就是那个吃了假辣椒酱的憨憨企鹅,56667,原创
BV1Ta4y1e7jX,凉风Kaze,225306,2665750,2978758,秃             ——阅片无数年度总结,38953,原创
BV1Mz4y1X7GL,共青团中央,155096,2659505,2840223,"""你为什么要入党？”“你看你问的……”",22425,原创
BV1ek4y1q7WM,中国BOY超级大猩猩,128574,2651120,2774186,不要笑挑战❌新故事王✔,25077,原创
