视频bv号,up主,投币数,播放数,综合得分,视频标题,视频弹幕数,原创
BV1H5411W76V,你看我带口罩了,57,480327,400400,炸水吧，危,130,原创
BV1cV41167zx,TESTV官方频道,2954,261481,278156,2020年彩色墨水屏手机值得买吗？【值不值得买第437期】,3678,原创
BV1P5411Y7Cu,GLAT巩振宁,2920,90711,134280,假如因为MIUI12，支付宝微信等禁止小米手机使用？MIUI12到底动了哪些巨头的蛋糕？,563,原创
BV1YT4y177xQ,业内不知名大佬,46,95472,107921,这可能是你在B站听过最贵的键盘声（25000RMB）,154,转载
BV1M5411Y718,青海阿卷,2469,70346,95044,miui12的小米闻声是如何改变了一个哑巴的生活方式？,193,原创
BV1Ft4y1R7LP,唯颂科技XYZONE,4778,55100,93843,【享拆】千元机拆解对比：Redmi 9  VS 华为畅享10e,2122,原创
BV1BC4y187EN,笔记本维修厮,830,68069,75629,本是同根生相煎何太急，维修厮血战中关村2手JS寄来的坏电脑,1181,原创
BV1az4y1X7AT,爱集微,7,74678,75352,苹果又出“神”操作，iPhone12取消充电头和耳机，你还买吗？,70,原创
BV1ya4y1h7Eq,花生説,4995,30323,73212,「花生説」将孤傲发挥到极致，老子才是标准【索尼Xperia1Ⅱ使用报告】,1846,原创
BV1KC4y1h7uM,厉害的朋友圈,764,59933,70361,小米 65 寸 OLED 大师电视上手,743,原创
BV1xg4y1v7Fq,科技美学,337,64392,69297,「科技美学直播」小米电视『大师』65”OLED开箱体验 | 音画双绝，超越感知,1413,原创
BV1h5411Y7Ej,钟文泽,179,63933,67684,"【小泽】小米电视「大师」65""体验 等了太久！",824,原创
BV1UC4y1a79h,清云Pro,1198,14205,65525,【4K】B站最全面完整的亲妈级电脑教程，从零装一台完美电脑,34,原创
BV1CK411n7ug,小白测评,482,55278,63873,「小白测评」小米 大师 旗舰OLED电视体验 一万三什么体验~,1298,原创
BV1ap4y1U7CT,新评科技,2339,33961,52590,【新评科技】真摔！华为P40Pro+首发跌落测试，四曲面屏幕纳米微晶精密陶瓷耐摔吗？,830,原创
BV1kK411n7BX,夏宣捡漏机,45,47086,48708,挑战信誉最差的卖家！800元购买苹果7plus会翻车吗？夏宣捡漏机,141,原创
BV1vi4y1G7DV,LinusTechTips,307,40509,47968,【官方双语】这款手柄天下最棒！我说说为啥#linus谈科技,296,原创
BV15i4y1V7Nb,摄影师顾俊,523,38360,46256,【顾俊】腾龙28-200mm，始于f2.8的超级大变焦！,660,原创
BV1GV41167at,SPlusTech,859,34336,44425,【SPlusTech】惠普暗影精灵6Plus评测：勤俭持家，便宜量大~,670,原创
BV137411K7V1,飞鱼不在天,617,12722,42271,"这十个软件,让你的电脑舒适度提升1400%",20,原创
BV1QC4y1a7tk,取景框看世界,398,7781,40364,可能是你见过最硬核调色教程，7分钟成为曲线后期大师（收藏向！曲线工具为例讲解调色原理，你从未听说的曲线调色技巧）,25,原创
BV18t4y197o2,一只记录西,751,7852,40093,用超简单的N种方法剪出高逼格的VLOG！良心Pr教程，含vlog必备素材包分享，再也不用担心你的VLOG无聊啦！,20,原创
BV1op4y1D7KM,C锥儿2020,542,15218,38494,52赫兹的鲸,29,原创
BV18T4y177jW,汉博利特,154,32451,38130,224核448线程的百万级服务器跑分能到什么水平？要不要来PK一下？,230,原创
BV1954y1Q7D4,奇特的罗杰,170,21281,36932,【创意摄影】Jordi2020年的10个创意点子,13,转载
BV1c54y1z7BT,大家测,125,27714,30954,【大家测】预告！2020年上半年“四大旗舰”没有苹果！四台机器全部来自亚洲 其中三台是国产,841,原创
