排名,标题,播放量,讨论数,得分
1,刻进DNA里的画面——前方名场景高能【BILIBILI 11周年】,467.8万,2.8万,10212449
2,毛选朗读（1～5卷） 持续更新中…,143.5万,1.4万,5391964
3,一个人，造出让40亿人震碎的夜晚！,387.0万,3.4万,5200367
4,眼“色”游戏 （2）,305.1万,7.5万,4248220
5,当 滑稽 和其他表情合体,257.3万,2.0万,3922561
6,【才浅手工】两个月打造两把誓约胜利之剑，已用青金石附魔,178.4万,2.6万,3738682
7,B站11周年特映《喜相逢》| 我们满心欢喜相逢在B站,416.3万,3.5万,3541323
8,【醒醒】中华儿女该起床了,115.7万,1.5万,3406574
9,口技大师！,298.1万,7.7万,3297139
10,【李玉刚自投稿】你们要的《赤伶》剧情版MV来了！,149.0万,1.3万,3117471
11,最 强 汤 姆,276.3万,1.0万,2927010
12,自制多米诺开瓶器，一次开100瓶乌苏，让开盖更加简单且硬气,377.5万,2.8万,2784032
13,突然向女朋友跪地求婚！相识20年，我们终于订婚了！,179.9万,6.3万,2705689
14,【费玉污】《一剪梅》被删减版本！,211.0万,1.4万,2663704
15,骁话一下：为什么欧洲没有互联网？,308.8万,3.6万,2531386
16,消费主义是如何对年轻人进行欺骗与洗脑的？【围炉夜话】,97.9万,2.3万,2462288
17,10分钟高效瘦大腿根运动，躺床练出大腿缝，亲测一周见效！膝盖友好，无器械～,41.4万,2292,2322652
18,为了做游戏，我花了10年自学程序、美术、音乐、策划,102.5万,1.4万,2310836
19,最 强 法 海,192.0万,9341,2299397
20,马化腾曾扮妹子陪聊！【阅片无数53】,306.9万,4.2万,2224579
21,【罗翔】100g冰毒里掺50g面粉，怎么判？国际禁毒日,271.9万,3.1万,2202151
22,油管播放量破亿却惨被删除封号的特朗普恶搞视频,302.8万,6074,2140700
23,【杨超越爆笑rap】干啥啥不行，rap第一名！（全程高能）,258.6万,1.2万,2123045
24,这才叫演员，那些骗钱的渣渣们还有脸演戏吗,165.9万,3520,2098824
25,【以衣换衣·第二期】衣 服 换 换 换,282.3万,2.0万,2091751
26,【半佛】应届生求职利益最大化指南,115.2万,9690,2041759
27,爱一个人，就陪她走一遍儿时的路,112.4万,4.0万,2034418
28,“王 者 荣 耀 全 英 雄 介 绍 ”（共100个）,194.1万,1.2万,2017985
29,鬼知道我看了几遍！,175.9万,4161,2004888
30,大  威  天  妈,220.5万,4476,1926431
31,乘风破浪的姐姐-大碗宽面练习室版舞蹈,196.2万,1.7万,1915885
32,【隐秘的角落·百万剪辑】杀戮之途·你就是我！将34380秒的故事提炼成9分钟的“险恶之旅”！每一秒都是壁纸！,108.7万,2783,1904714
33,世界上BUG最多的搞笑游戏 每局1500个BUG,359.9万,1.1万,1872225
34,妈妈问我为什么要跪着看手机！,95.3万,1650,1781131
35,【片片】细节爆炸！还珠格格里藏着杀人秘密！不愧是9分神剧！过瘾解说《隐秘的角落》7-9,233.9万,1.9万,1745648
36,【川建国传】请叫我红星队长 3D自制短片 不是封面党,133.4万,4837,1727536
