排名,标题,播放量,讨论数,得分
1,【官方MV】Mojito - 周杰伦,1255.4万,13.2万,12070291
2,刻进DNA里的画面——前方名场景高能【BILIBILI 11周年】,482.2万,2.9万,10488012
3,Uzi | 大家好，我是你们的枣子哥简自豪，今天正式入驻B站啦！,829.2万,4.5万,9271861
4,最 强 法 海,1002.3万,4.0万,9085694
5,【老番茄】史上最骚杀手(第十集),568.5万,6.8万,8495646
6,如何拒绝别人,726.0万,2.1万,7756247
7,《樱  桃  老  丸  子》,665.3万,9609,7656040
8,小时候看笑话，长大后看真实,367.8万,2.7万,6649114
9,【醒醒】中华儿女该起床了,240.9万,3.0万,6580340
10,【过于真实】天 下 老 师 皆 是 一 家,403.5万,2.9万,5763626
11,骁话一下：为什么中日韩一谈合作，钓鱼岛就出事儿？,395.6万,5.8万,5716909
12,毛选朗读（1～5卷） 持续更新中…,143.7万,1.4万,5400904
13,靠谱盘点86:先就到这里吧！我们下期再见！,298.4万,2.9万,5164091
14,小翔哥回来了，我们重新开始,586.7万,6.9万,4960284
15,《Numb》——4K超清  翻唱,543.8万,2.2万,4958457
16,【Pamela Reif】魔鬼帕梅拉10分钟初学者腹部训练，新手姐妹也能跟得上啦！,222.2万,1.5万,4807271
17,【童年经典/反派手书】你管这叫童年阴影？！,167.1万,1.5万,4728200
18,这个王者明明超强却喜欢捡垃圾吃【龙女动物学15】软甲纲,318.1万,1.5万,4701249
19,【川普】浮夸，是一个卧底最好的掩饰,342.1万,2.5万,4650698
20,被上帝吻过的嗓子,782.5万,3.1万,4456943
21,眼“色”游戏 （2）,305.1万,7.5万,4248220
22,能看到第15秒吗？,324.9万,1.8万,4070830
23,耗时..... 算了，白嫖吧!,217.2万,7977,4034245
24,当  代  网  络  现  状,474.6万,9361,3997318
25,躺床8分钟高效瘦腰虐腹！快速练出马甲线/沙漏腰（跟练版）,99.9万,1.8万,3950261
26,满级大佬屠杀新手村,469.0万,1.1万,3924859
27,当 滑稽 和其他表情合体,257.3万,2.0万,3922561
28,电竞运动员Uzi退役独家专访：如果时间还够，很多东西我可以做到,335.6万,4.4万,3852615
29,用六十部动漫台词唱出一首《稻香》,126.9万,8430,3816652
30,手 往 哪 摸 呢 ？,440.2万,4.7万,3760798
31,【才浅手工】两个月打造两把誓约胜利之剑，已用青金石附魔,178.4万,2.6万,3738682
32,高考作弊记,286.4万,1.3万,3721889
33,B站的儿童节礼物：哔哩哔哩视频卫星，把世界拍给你看！,600.8万,3.1万,3711571
